"TOA5","LMAT_BLK1_soilCR10XPB10","","","","","","Table1"
"TIMESTAMP","RECORD","Field1","Field2","Field3","Field4","Field5","Field6","Field7","Field8","Field9","Field10","Field11","Field12","Field13","Field14","Field15","Field16","Field17","Field18","Field19","Field20"
"TS","RN","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"2022-04-01 15:00:00",0,-694.1,-5.244,-67.8,150,558,97,10,4094,-800.2,-7.41,-8.49,-6.522,-6.037,-5.876,-7.026,-5.722,-5.488,-7.444,-6.582,-5.655
"2022-04-01 18:00:00",1,15.07,-7.277,-7.272,-6.027,-5.727,-7.021,-6.438,-5.578,-8.32,-7.439,-8.24,-6.273,-5.944,-5.738,-6.679,-5.685,-5.487,-6.49,-6.442,-5.669
"2022-04-01 21:00:00",2,13.96,-14.56,-7.203,-6.339,-6.07,-7.283,-6.739,-5.902,-8.64,-7.637,-8.29,-6.365,-6.049,-5.928,-6.876,-5.936,-5.783,-6.562,-6.573,-5.924
"2022-04-02 00:00:00",3,13.03,-22.65,-7.942,-6.669,-6.43,-7.601,-7.072,-6.26,-9.72,-7.922,-8.74,-6.847,-6.353,-6.296,-7.42,-6.323,-6.167,-7.671,-6.928,-6.267
"2022-04-02 03:00:00",4,12.84,-25.74,-8.9,-6.785,-6.554,-7.792,-7.215,-6.402,-10.79,-8.12,-9.29,-7.443,-6.65,-6.535,-8.18,-6.552,-6.329,-8.84,-7.241,-6.431
"2022-04-02 06:00:00",5,12.77,-27.06,-9.76,-6.877,-6.617,-8.01,-7.333,-6.467,-11.65,-8.34,-9.85,-8.01,-6.96,-6.781,-8.71,-6.734,-6.437,-9.84,-7.58,-6.562
"2022-04-02 09:00:00",6,14.35,-26.25,-10.47,-6.992,-6.663,-8.23,-7.45,-6.495,-12.31,-8.56,-10.34,-8.52,-7.315,-7.07,-9.24,-6.895,-6.523,-10.6,-7.906,-6.661
"2022-04-02 12:00:00",7,15.4,-18.78,-10.54,-6.815,-6.42,-8.13,-7.253,-6.192,-12.03,-8.44,-10.32,-8.39,-7.192,-6.95,-9.2,-6.697,-6.279,-10.5,-7.862,-6.446
"2022-04-02 15:00:00",8,15.41,-17.87,-10.18,-6.888,-6.455,-8.25,-7.338,-6.196,-11.34,-8.57,-10.28,-8.2,-7.227,-6.914,-9.12,-6.707,-6.284,-9.72,-7.951,-6.499
"2022-04-02 18:00:00",9,15.5,-19.21,-9.59,-7.043,-6.612,-8.39,-7.502,-6.321,-10.87,-8.7,-10.14,-7.98,-7.257,-6.903,-9.11,-6.805,-6.392,-8.79,-7.947,-6.599
"2022-04-02 21:00:00",10,14.1,-23.62,-9.48,-7.292,-6.88,-8.6,-7.74,-6.544,-11.17,-8.85,-10.17,-8.02,-7.275,-7.004,-9.43,-7.028,-6.617,-8.75,-8.02,-6.778
"2022-04-03 00:00:00",11,13.08,-29.03,-10.07,-7.585,-7.183,-8.89,-8.03,-6.824,-12.07,-9.11,-10.56,-8.47,-7.557,-7.343,-9.8,-7.369,-6.952,-9.66,-8.33,-7.072
"2022-04-03 03:00:00",12,12.85,-30.1,-10.8,-7.689,-7.274,-9.05,-8.14,-6.912,-12.87,-9.27,-10.99,-8.93,-7.771,-7.525,-10.1,-7.512,-7.058,-10.61,-8.55,-7.182
"2022-04-03 06:00:00",13,12.76,-31.05,-11.5,-7.832,-7.369,-9.26,-8.28,-6.992,-13.54,-9.49,-11.45,-9.4,-8.05,-7.731,-10.53,-7.668,-7.163,-11.42,-8.86,-7.314
"2022-04-03 09:00:00",14,14.4,-29.74,-12.03,-7.976,-7.426,-9.45,-8.39,-7.028,-14.01,-9.69,-11.83,-9.8,-8.34,-7.985,-10.77,-7.791,-7.251,-12.02,-9.12,-7.409
