"TOA5","LMAT_BLK3_CR1000_3","CR1000","16829","CR1000.Std.15","CPU:LMAT_Blk3_2021-07-09_moist-soil TC.CR1","25117","MetData"
"TIMESTAMP","RECORD","BattV_Avg","AirTControl_Avg","RHCT","Air_GH_Avg","RH_GH","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT"
"TS","RN","Volts","Deg C","%","Deg C","%","meters/second","Deg","Deg"
"","","Avg","Avg","Smp","Avg","Smp","WVc","WVc","WVc"
"2021-07-14 05:00:00",22,12.84,4.988,100,6.904,95.4,2.56,356.1,11.5
"2021-07-14 05:30:00",23,12.87,4.774,99.5,7.267,92,2.095,11.42,15.95
"2021-07-14 05:00:00",24,12.87,4.617,98.7,6.984,92.7,2.262,358.4,14.74
"2021-07-14 05:30:00",25,12.93,5.216,89.7,8.28,84.5,2.058,6.395,12.82
"2021-07-14 06:00:00",26,12.98,5.298,85.6,9.23,83,2.066,7.152,14.55
"2021-07-14 06:30:00",27,12.99,5.412,86.4,8.49,87.3,1.622,285.4,20.84
"2021-07-14 07:00:00",28,13.03,5.956,83,8.79,84.1,1.372,292.4,18.68
"2021-07-14 07:30:00",29,13.11,6.124,78.53,9.55,76.87,2.258,265.8,22.65
"2021-07-14 08:00:00",30,13.25,6.22,91.1,10.79,75.89,1.959,263.1,35.86
"2021-07-14 08:30:00",31,14.43,6.957,79.61,15.59,52.98,2.384,310,24.94
"2021-07-14 09:00:00",32,14.39,7.091,77.77,18.5,48.08,2.691,302.6,19.47
"2021-07-14 09:30:00",33,14.38,7.347,74.16,18.07,50.74,2.709,289.6,17.9
"2021-07-14 10:00:00",34,14.33,8.35,71.78,22.95,36.62,2.596,304.8,23.39
"2021-07-14 10:30:00",35,14.3,8.25,64.25,22.7,31.68,3.215,307.4,24.36
"2021-07-14 11:00:00",36,14.28,8.69,64.04,25.22,33.47,3.207,306,17.3
"2021-07-14 11:30:00",37,14.27,8.72,64.25,23.75,37.83,3.495,307.9,19.88
"2021-07-14 12:00:00",38,14.28,9.13,62.62,23.39,31.08,3.283,309.7,21.3
"2021-07-14 12:30:00",39,14.26,9.31,56.61,24.48,37.53,3.562,308.5,20.38
"2021-07-14 13:00:00",40,14.25,9.84,55.7,26.08,29.35,3.327,320.2,22.5
"2021-07-14 13:30:00",41,14.22,10.4,54.38,27.64,30.2,3.613,302,28.17
"2021-07-14 14:00:00",42,14.17,10.41,55.56,28.17,25.26,3.421,309.8,22.21
"2021-07-14 14:30:00",43,14.14,10.24,55.9,26.97,25.77,3.259,307.4,20.82
"2021-07-14 15:00:00",44,14.17,10.17,49.86,23.37,32.46,2.927,316.1,23.04
"2021-07-14 15:30:00",45,14.17,10.62,55.59,25.62,30.5,2.877,312.9,36.79
"2021-07-14 16:00:00",46,14.2,10.45,57.75,24.05,35.46,3.421,343.9,27.73
"2021-07-14 16:30:00",47,14.28,9.77,59.18,18.74,44.69,3.755,2.858,17.88
"2021-07-14 17:00:00",48,14.31,9.85,62.02,17.76,45.97,4.026,358.3,27.33
"2021-07-14 17:30:00",49,14.34,9.66,56.54,16.94,42.12,3.814,5.837,11.09
"2021-07-14 18:00:00",50,14.33,10.06,58.88,19.32,39.69,4.151,3.453,25.76
"2021-07-14 18:30:00",51,14.32,9.73,55.13,17.51,44.82,3.583,0.873,30.26
"2021-07-14 19:00:00",52,14.31,9.57,54.59,17.63,42.12,3.272,348.5,26.68
"2021-07-14 19:30:00",53,14.33,9.29,55.4,17.27,38.3,3.409,351.4,16.88
"2021-07-14 20:00:00",54,14.34,8.93,60.26,17.68,38.2,3.38,349.9,12.33
"2021-07-14 20:30:00",55,14.37,8.56,61.95,17.57,39.49,2.991,0.34,20.32
"2021-07-14 21:00:00",56,14.39,8.25,61.92,17.57,38.14,2.251,4.317,23.06
"2021-07-14 21:30:00",57,14.38,7.917,69.15,18.73,38.01,1.579,37.76,20.62
"2021-07-14 22:00:00",58,14.32,7.355,72.78,17.17,42.1,0.996,30.81,13.22
"2021-07-14 22:30:00",59,13.77,6.76,73.86,15.24,46.83,0.702,19.38,26.82
"2021-07-14 23:00:00",60,13.44,6.777,77.31,12.54,57.07,0.582,322,29.27
"2021-07-14 23:30:00",61,13.36,6.049,80.3,9.17,65.96,0.686,245.3,16.77
"2021-07-15 00:00:00",62,13.32,5.586,84.9,7.969,71.52,0.821,219.7,14.18
"2021-07-15 00:30:00",63,13.27,4.009,93,6.115,74.67,1.568,196.1,11.54
"2021-07-15 01:00:00",64,13.22,2.363,90.5,3.237,88.6,2.474,198.7,2.527
"2021-07-15 01:30:00",65,13.18,2.135,89.4,2.195,89.3,2.674,197.3,2.944
"2021-07-15 02:00:00",66,13.15,1.704,88.4,2.011,90.8,2.599,198.4,3.763
"2021-07-15 02:30:00",67,13.13,2.158,87.7,2.483,83.3,2.406,194.3,3.141
"2021-07-15 03:00:00",68,13.12,1.566,91.9,3.329,81.7,2.599,198.5,3.4
"2021-07-15 03:30:00",69,13.13,1.906,87.7,5.077,71.49,2.621,197.7,5.927
"2021-07-15 04:00:00",70,13.15,1.984,88.6,6.498,66.08,2.379,196,5.577
"2021-07-15 04:30:00",71,13.21,2.052,88.9,9.08,59.69,2.091,188.3,10.72
"2021-07-15 05:00:00",72,13.79,3.038,88.4,11.36,55.7,2.704,163.7,12.18
"2021-07-15 05:30:00",73,14.54,3.879,84.8,14.23,49.72,2.638,157.9,10.19
"2021-07-15 06:00:00",74,14.5,5.363,77.55,17.19,45.38,2.735,153.7,9.42
