"TOA5","LMAT_BLK3_CR1000_3","CR1000","16829","CR1000.Std.15","CPU:LMAT_Blk3_2019-08-20_moist-soil TC.CR1","1882","SoilData"
"TIMESTAMP","RECORD","T107_C_CT1_Avg","T107_C_CT2_Avg","T107_C_CT3_Avg","T107_C_GH1_Avg","T107_C_GH2_Avg","T107_C_GH3_Avg","VW_CT_Avg","PA_uS_CT_Avg","VW_GH_Avg","PA_uS_GH_Avg","CT1_SUR_AVG_Avg","CT1_10cm_AVG_Avg","CT1_20cm_AVG_Avg","CT2_SUR_AVG_Avg","CT2_10cm_AVG_Avg","CT2_20cm_AVG_Avg","CT3_SUR_AVG_Avg","CT3_10cm_AVG_Avg","CT3_20cm_AVG_Avg","NP1_SUR_AVG_Avg","NP1_10cm_AVG_Avg","NP1_20cm_AVG_Avg","NP2_SUR_AVG_Avg","NP2_10cm_AVG_Avg","NP2_20cm_AVG_Avg","NP3_SUR_cm_AVG_Avg","NP3_10_AVG_Avg","NP3_20cm_AVG_Avg","RTempC_Avg"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","","uSec","","uSec","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-01-01 00:00:00",3849,-4.844,-5.649,-6.776,-2.803,-2.443,-3.017,0.031,0.754,0.052,0.792,-2.593,-2.68,-1.61,-3.71,-2.106,-1.749,-5.503,-3.421,-3.291,-3.989,-3.273,-2.872,-4.811,-3.875,-3.317,-5.6,-4.969,-3.867,-19.33
"2021-01-01 03:00:00",3850,-4.893,-5.709,-6.847,-2.822,-2.462,-3.056,0.031,0.754,0.052,0.792,-2.625,-2.712,-1.633,-3.767,-2.137,-1.772,-5.596,-3.479,-3.348,-4.064,-3.331,-2.895,-4.86,-3.907,-3.339,-5.658,-5.027,-3.907,-19.08
"2021-01-01 06:00:00",3851,-4.947,-5.763,-6.912,-2.856,-2.496,-3.089,0.031,0.754,0.052,0.792,-2.647,-2.734,-1.646,-3.816,-2.168,-1.794,-5.671,-3.527,-3.379,-4.121,-3.388,-2.917,-4.908,-3.938,-3.353,-5.706,-5.084,-3.929,-18.53
"2021-01-01 09:00:00",3852,-4.987,-5.824,-6.984,-2.886,-2.516,-3.129,0.031,0.754,0.052,0.792,-2.648,-2.744,-1.639,-3.851,-2.161,-1.804,-5.725,-3.555,-3.415,-4.157,-3.406,-2.927,-4.936,-3.956,-3.363,-5.768,-5.128,-3.965,-17.83
"2021-01-01 12:00:00",3853,-5.035,-5.873,-7.033,-2.913,-2.544,-3.157,0.031,0.754,0.052,0.792,-2.659,-2.738,-1.624,-3.863,-2.163,-1.78,-5.762,-3.566,-3.417,-4.168,-3.383,-2.947,-4.973,-3.985,-3.383,-5.806,-5.157,-3.985,-18.3
"2021-01-01 15:00:00",3854,-5.062,-5.899,-7.081,-2.939,-2.56,-3.183,0.031,0.754,0.052,0.792,-2.663,-2.75,-1.628,-3.893,-2.167,-1.776,-5.793,-3.579,-3.43,-4.182,-3.396,-2.977,-5.022,-4.007,-3.396,-5.837,-5.179,-4.007,-19.85
"2021-01-01 18:00:00",3855,-5.091,-5.92,-7.121,-2.968,-2.579,-3.222,0.031,0.754,0.052,0.792,-2.696,-2.783,-1.652,-3.935,-2.191,-1.808,-5.826,-3.62,-3.463,-4.232,-3.437,-3.027,-5.072,-4.057,-3.428,-5.879,-5.23,-4.057,-20.8
"2021-01-01 21:00:00",3856,-5.113,-5.951,-7.175,-2.979,-2.589,-3.242,0.031,0.754,0.052,0.792,-2.735,-2.831,-1.673,-3.992,-2.23,-1.83,-5.884,-3.677,-3.52,-4.271,-3.468,-3.084,-5.121,-4.105,-3.476,-5.954,-5.287,-4.114,-22.08
"2021-01-02 00:00:00",3857,-5.151,-5.99,-7.265,-2.996,-2.617,-3.27,0.031,0.754,0.052,0.792,-2.733,-2.829,-1.671,-3.998,-2.219,-1.827,-5.908,-3.675,-3.518,-4.269,-3.465,-3.108,-5.154,-4.121,-3.474,-5.987,-5.312,-4.121,-23.48
"2021-01-02 03:00:00",3858,-5.192,-6.052,-7.38,-3.017,-2.617,-3.29,0.031,0.754,0.053,0.792,-2.758,-2.871,-1.687,-4.042,-2.261,-1.843,-5.987,-3.718,-3.552,-4.313,-3.482,-3.168,-5.215,-4.164,-3.517,-6.066,-5.382,-4.164,-25.08
"2021-01-02 06:00:00",3859,-5.241,-6.102,-7.523,-3.035,-2.635,-3.318,0.031,0.754,0.053,0.792,-2.782,-2.896,-1.702,-4.075,-2.268,-1.859,-6.057,-3.752,-3.586,-4.338,-3.516,-3.219,-5.267,-4.198,-3.542,-6.145,-5.442,-4.215,-26.89
"2021-01-02 09:00:00",3860,-5.293,-6.195,-7.69,-3.055,-2.656,-3.349,0.031,0.754,0.053,0.793,-2.798,-2.921,-1.718,-4.118,-2.293,-1.874,-6.162,-3.786,-3.619,-4.381,-3.541,-3.252,-5.319,-4.24,-3.567,-6.241,-5.521,-4.249,-28.39
"2021-01-02 12:00:00",3861,-5.373,-6.306,-7.886,-3.085,-2.695,-3.398,0.031,0.754,0.053,0.793,-2.824,-2.955,-1.735,-4.17,-2.31,-1.891,-6.268,-3.846,-3.671,-4.45,-3.593,-3.278,-5.371,-4.258,-3.584,-6.355,-5.608,-4.293,-29.01
"2021-01-02 15:00:00",3862,-5.463,-6.437,-8.09,-3.114,-2.724,-3.447,0.032,0.754,0.053,0.793,-2.845,-2.976,-1.738,-4.226,-2.33,-1.904,-6.403,-3.885,-3.701,-4.515,-3.631,-3.308,-5.418,-4.287,-3.605,-6.464,-5.699,-4.34,-29.35
"2021-01-02 18:00:00",3863,-5.553,-6.579,-8.28,-3.153,-2.744,-3.496,0.032,0.754,0.053,0.794,-2.891,-3.013,-1.758,-4.307,-2.368,-1.941,-6.564,-3.957,-3.782,-4.605,-3.712,-3.354,-5.491,-4.333,-3.642,-6.599,-5.816,-4.412,-29.62
"2021-01-02 21:00:00",3864,-5.663,-6.731,-8.49,-3.192,-2.812,-3.554,0.032,0.755,0.053,0.794,-2.907,-3.037,-1.765,-4.358,-2.374,-1.939,-6.703,-4.008,-3.815,-4.673,-3.754,-3.378,-5.559,-4.366,-3.666,-6.72,-5.911,-4.454,-29.83
"2021-01-03 00:00:00",3865,-5.763,-6.883,-8.67,-3.241,-2.86,-3.623,0.032,0.755,0.054,0.794,-2.942,-3.073,-1.782,-4.446,-2.401,-1.974,-6.861,-4.078,-3.885,-4.779,-3.833,-3.413,-5.638,-4.41,-3.693,-6.835,-6.025,-4.515,-30.26
"2021-01-03 03:00:00",3866,-5.863,-7.034,-8.86,-3.29,-2.919,-3.682,0.032,0.755,0.054,0.794,-3,-3.131,-1.815,-4.539,-2.451,-2.006,-7.016,-4.162,-3.961,-4.898,-3.952,-3.454,-5.705,-4.46,-3.734,-6.954,-6.127,-4.565,-28.97
"2021-01-03 06:00:00",3867,-5.973,-7.166,-9.03,-3.349,-2.968,-3.76,0.032,0.755,0.054,0.794,-3.011,-3.151,-1.791,-4.585,-2.453,-2,-7.133,-4.2,-4.007,-4.953,-3.964,-3.474,-5.778,-4.497,-3.754,-7.062,-6.217,-4.637,-28.42
"2021-01-03 09:00:00",3868,-6.063,-7.289,-9.15,-3.407,-2.997,-3.809,0.032,0.755,0.054,0.794,-3.061,-3.2,-1.84,-4.687,-2.502,-2.049,-7.279,-4.284,-4.074,-5.073,-4.074,-3.523,-5.863,-4.556,-3.794,-7.165,-6.32,-4.704,-28.6
"2021-01-03 12:00:00",3869,-6.155,-7.413,-9.26,-3.459,-3.058,-3.88,0.032,0.755,0.054,0.794,-3.08,-3.229,-1.825,-4.751,-2.513,-2.052,-7.369,-4.339,-4.12,-5.136,-4.111,-3.561,-5.926,-4.601,-3.814,-7.246,-6.383,-4.742,-27.91
"2021-01-03 15:00:00",3870,-6.224,-7.504,-9.34,-3.506,-3.095,-3.937,0.032,0.755,0.054,0.794,-3.142,-3.29,-1.861,-4.839,-2.558,-2.087,-7.467,-4.401,-4.2,-5.233,-4.191,-3.614,-5.997,-4.655,-3.858,-7.317,-6.463,-4.821,-28.06
"2021-01-03 18:00:00",3871,-6.294,-7.596,-9.39,-3.564,-3.143,-3.996,0.032,0.755,0.054,0.794,-3.153,-3.31,-1.854,-4.885,-2.569,-2.089,-7.54,-4.438,-4.237,-5.28,-4.219,-3.651,-6.061,-4.701,-3.878,-7.364,-6.518,-4.859,-28.22
"2021-01-03 21:00:00",3872,-6.355,-7.668,-9.45,-3.613,-3.173,-4.055,0.032,0.755,0.054,0.794,-3.197,-3.345,-1.872,-4.964,-2.603,-2.115,-7.602,-4.5,-4.281,-5.341,-4.263,-3.703,-6.123,-4.745,-3.922,-7.426,-6.58,-4.911,-28.84
"2021-01-04 00:00:00",3873,-6.415,-7.739,-9.5,-3.652,-3.202,-4.114,0.032,0.755,0.054,0.794,-3.234,-3.392,-1.9,-5.028,-2.632,-2.127,-7.666,-4.555,-4.336,-5.414,-4.31,-3.741,-6.187,-4.8,-3.968,-7.499,-6.627,-4.975,-29.23
"2021-01-04 03:00:00",3874,-6.476,-7.801,-9.56,-3.701,-3.241,-4.163,0.032,0.755,0.054,0.794,-3.274,-3.431,-1.914,-5.077,-2.663,-2.158,-7.733,-4.603,-4.384,-5.463,-4.367,-3.798,-6.244,-4.849,-4.008,-7.557,-6.684,-5.015,-29.47
"2021-01-04 06:00:00",3875,-6.537,-7.863,-9.63,-3.74,-3.28,-4.213,0.032,0.755,0.054,0.794,-3.307,-3.473,-1.93,-5.136,-2.697,-2.182,-7.802,-4.654,-4.427,-5.522,-4.427,-3.84,-6.304,-4.891,-4.042,-7.626,-6.744,-5.066,-29.56
"2021-01-04 09:00:00",3876,-6.597,-7.945,-9.7,-3.78,-3.3,-4.262,0.032,0.755,0.054,0.794,-3.355,-3.521,-1.96,-5.202,-2.744,-2.212,-7.877,-4.711,-4.483,-5.588,-4.474,-3.888,-6.37,-4.947,-4.08,-7.7,-6.827,-5.131,-29.83
"2021-01-04 12:00:00",3877,-6.658,-8.01,-9.79,-3.819,-3.339,-4.311,0.032,0.755,0.054,0.794,-3.381,-3.556,-1.969,-5.254,-2.77,-2.247,-7.965,-4.755,-4.527,-5.649,-4.527,-3.923,-6.423,-4.991,-4.115,-7.762,-6.88,-5.175,-29.99
"2021-01-04 15:00:00",3878,-6.729,-8.08,-9.87,-3.858,-3.368,-4.37,0.032,0.755,0.054,0.794,-3.41,-3.602,-1.997,-5.318,-2.799,-2.258,-8.03,-4.809,-4.582,-5.704,-4.582,-3.96,-6.478,-5.037,-4.161,-7.835,-6.935,-5.221,-29.82
