"TOA5","MAT89_CR23XPB7","","","","","","Daily"
"TIMESTAMP","RECORD","BattV_MIN","ProgSig","CT_Temp_AVG","CT_Temp_MAX","CT_Temp_MIN","GH_Temp_AVG","GH_Temp_MAX","GH_Temp_MIN","SH_Temp_AVG","SH_Temp_MAX","SH_Temp_MIN","WS_ms_AVG","WS_ms_MAX","WS_ms_MIN","Rain_mm_TOT"
"TS","RN","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"2021-09-03 00:00:00",0,12.42,1942,5.098,8.56,2.584,5.185,8.82,2.32,5.429,8.99,2.534,2.83,5.994,0,0
"2021-09-04 00:00:00",1,12.42,1942,9.61,14.53,3.599,9.1,14.94,2.481,9.22,15.12,2.663,2.595,6.1,0,0
"2021-09-05 00:00:00",2,12.39,1942,9.76,16.38,2.911,9.27,16.88,2.086,9.43,17.16,2.152,3.714,6.354,0.86,0
"2021-09-06 00:00:00",3,12.39,1942,2.793,7.324,-1.202,2.865,7.639,-1.301,2.974,8.1,-1.202,3.37,6.354,0.687,1.778
"2021-09-07 00:00:00",4,12.38,1942,2.208,7.576,-1.68,2.188,7.654,-1.796,2.291,7.836,-1.664,2.524,7.447,0,2.286
"2021-09-08 00:00:00",5,12.43,1942,7.876,11.25,4.305,7.595,11.28,3.777,7.739,11.46,3.992,6.243,9.49,2.567,0
"2021-09-09 00:00:00",6,12.4,1942,8.36,14.17,3.011,7.957,14.45,1.921,8.1,15.16,1.921,4.511,8.5,0,0
"2021-09-10 00:00:00",7,12.38,1942,6.927,13.04,1.234,6.4,13.24,0.409,6.501,13.41,0.508,2.473,4.207,0,0
"2021-09-11 00:00:00",8,12.39,1942,8.39,15.94,2.371,7.856,16.83,1.513,7.982,16.82,1.595,2.67,6.314,0,0
"2021-09-12 00:00:00",9,12.4,1942,5.576,9.13,1.15,5.11,9.41,0.211,5.204,9.46,0.293,2.533,7.754,0,2.032
"2021-09-13 00:00:00",10,12.4,1942,6.393,11.78,0.825,5.879,12.29,-0.033,6.004,12.57,-0.429,2.549,5.727,0,0
"2021-09-14 00:00:00",11,12.4,1942,2.266,7.647,-2.734,2.014,8.14,-3.393,2.128,8.42,-3.245,2.423,4.194,0,0
"2021-09-15 00:00:00",12,12.39,1942,2.637,8.9,-3.501,2.23,9.33,-4.772,2.29,9.24,-4.641,1.875,4.847,0,0
"2021-09-16 00:00:00",13,12.4,1942,3.834,7.773,-1.779,3.502,8.37,-2.455,3.601,8.76,-2.422,2.602,5.407,0,6.35
"2021-09-17 00:00:00",14,12.37,1942,2.211,7.964,-1.677,1.743,8.13,-2.585,1.825,8.23,-2.469,2.74,5.314,0,0
"2021-09-18 00:00:00",15,12.35,1942,-1.379,0.505,-4.329,-1.44,0.835,-4.362,-1.332,1.115,-4.329,2.815,4.487,0,0.762
"2021-09-19 00:00:00",16,12.34,1942,-5.119,-1.941,-8.82,-5.343,-0.771,-9.32,-5.205,-1.627,-9.2,2.191,4.687,0,1.524
"2021-09-20 00:00:00",17,12.42,1942,-5.907,-1.241,-12.59,-6.463,-1.752,-13.93,-6.402,-1.703,-13.91,3.092,6.86,0.674,0
"2021-09-21 00:00:00",18,12.38,1942,-6.203,-3.655,-13.1,-6.5,-3.701,-13.93,-6.401,-3.341,-13.91,5.219,9.19,1.514,0
"2021-09-22 00:00:00",19,12.42,1942,-5.325,-4.54,-6.813,-5.479,-4.672,-6.862,-5.348,-4.491,-6.747,5.969,11.61,2.14,0
"2021-09-23 00:00:00",20,12.41,1942,-9.25,-4.859,-16.06,-9.68,-4.975,-17.18,-9.56,-4.678,-17.3,2.61,6.354,0,0
"2021-09-24 00:00:00",21,12.4,1942,-11.89,-5.583,-16.48,-12.2,-4.372,-17.51,-12.1,-6.027,-17.14,1.735,3.714,0,0
