"TOA5","MAT89_CR23XPB7","","","","","","Met_half_hourly"
"TIMESTAMP","RECORD","CT_Temp_AVG","GH_Temp_AVG","SH_Temp_AVG","CT_RH","GH_RH","SH_RH","SolarkW_AVG","CTPAR_Den_AVG","GHPAR_Den_AVG","SHPAR_Den_AVG","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","Ref_T_C_AVG","Rain_mm_TOT","WindDirMax_MAX"
"TS","RN","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"2021-01-01 00:00:00",22206,-17.67,-20.73,-20.32,45.37,57.87,59.51,0,0,0,0,3.276,180.7,5.725,-19.03,0,537.5
"2021-01-01 00:30:00",22207,-18.57,-21.52,-21.15,49.93,59.12,57.37,0,0,0,0,2.096,173.7,20.93,-18.89,0,763.8
"2021-01-01 01:00:00",22208,-18.12,-21.5,-21.14,52.86,60.78,60.96,0,0,0,0,3.358,183.5,4.76,-18.97,0,531.9
"2021-01-01 01:30:00",22209,-18.27,-20.62,-20.31,51.95,59.08,61.21,0,0,0,0,3.754,181.3,7.556,-18.93,0,537.2
"2021-01-01 02:00:00",22210,-19.31,-20.5,-20.36,60.41,62.68,63.8,0,0,0,0,3.87,177.2,4.719,-18.79,0,513.6
"2021-01-01 02:30:00",22211,-17.95,-19.62,-19.46,42.6,63.37,65.26,0,0,0,0,3.297,185.4,7.326,-18.62,0,548.3
"2021-01-01 03:00:00",22212,-17.59,-19.02,-18.94,58.91,65.42,65.24,0,0,0,0,0.74,157.8,71.41,-18.36,0,939
"2021-01-01 03:30:00",22213,-16.94,-19.11,-18.53,51.3,55.07,56.26,0,0,0,0,1.338,178.5,37.22,-18.23,0,994
"2021-01-01 04:00:00",22214,-16.21,-18.54,-18.31,47.53,60.29,62.56,0,0,0,0,1.782,186.8,19.05,-18.14,0,652
"2021-01-01 04:30:00",22215,-16.83,-18.73,-18.84,60.14,60.94,61.73,0,0,0,0,1.324,185.9,43.75,-17.98,0,717.8
"2021-01-01 05:00:00",22216,-17.54,-19.31,-19.13,61.07,58.74,62.24,0,0,0,0,0.654,238.3,39.89,-17.97,0,804
"2021-01-01 05:30:00",22217,-17.05,-19.49,-18.97,46.13,58.13,56.99,0,0,0,0,1.394,180.6,19.59,-18.01,0,630.5
"2021-01-01 06:00:00",22218,-17.55,-19.5,-19.32,52.36,57.43,59.19,0,0,0,0,1.175,166.8,46.27,-18.03,0,843
"2021-01-01 06:30:00",22219,-16.53,-19.72,-18.92,52.71,62.87,60.49,0,0,0,0,1.742,172.9,7.92,-18.06,0,526.8
"2021-01-01 07:00:00",22220,-16.2,-19.98,-19.63,44.39,59.09,59.88,0,0,0,0,2.307,186.7,5.859,-18.08,0,545.9
"2021-01-01 07:30:00",22221,-15.71,-20.55,-19.3,44.01,55.02,54.36,0,0,0,0,1.84,175.5,13.76,-18.12,0,529.8
"2021-01-01 08:00:00",22222,-17.49,-21.02,-20.83,54.31,56.53,60.46,0,0,0,0,1.344,188.2,43.5,-18.28,0,762.9
"2021-01-01 08:30:00",22223,-19.01,-21.71,-21.83,57.29,59.82,60.4,0,0,0,0,0.559,218.4,65.32,-18.55,0,991
"2021-01-01 09:00:00",22224,-19.52,-22.37,-21.51,66.76,59.6,64.3,0,0,0,0,0.651,241.4,61.07,-18.9,0,973
"2021-01-01 09:30:00",22225,-21.05,-23.18,-22.7,56.35,57.52,55.59,0,0,0,0,0.317,215.9,37.6,-19.27,0,845
"2021-01-01 10:00:00",22226,-19.79,-23.49,-22.58,51.08,57.76,56.58,0,0,0,0,2.219,166.3,4.68,-19.61,0,485.6
"2021-01-01 10:30:00",22227,-22.57,-24.89,-24.56,65.69,64.58,67.46,0,0.013,0,0,0.77,239.4,77.14,-19.86,0,924
